scenario,category,relation,dataset,model,N,M,P,time_before,time_after
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,distilbert,12,12,144,353.341,83.85764767181502
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,minilm,12,12,144,82.645,32.92763356816023
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,roberta,12,12,144,488.411,122.3097258146517
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,albert,12,12,144,411.603,102.03889394167066
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,bart,12,12,144,414.42,117.70935882821684
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,bert,12,12,144,417.501,104.61149112305043
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,distilbert,12,12,144,399.749,96.98333916457003
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,minilm,12,12,144,100.85,40.34113644286989
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,roberta,12,12,144,426.05,109.1250210341066
si_si2,ChEMBL,Joinable,assays_both_50_70_ac4_ev,albert,12,12,144,421.884,105.77173373514415
si_si2,ChEMBL,Joinable,assays_both_50_70_ac4_ev,bart,12,12,144,399.478,113.0434126238078
si_si2,ChEMBL,Joinable,assays_both_50_70_ac4_ev,bert,12,12,144,408.838,100.21017137962582
si_si2,ChEMBL,Joinable,assays_both_50_70_ac4_ev,distilbert,12,12,144,405.957,99.17701567482945
si_si2,ChEMBL,Joinable,assays_both_50_70_ac4_ev,minilm,12,12,144,103.345,41.851077820435165
si_si2,ChEMBL,Joinable,assays_both_50_70_ac4_ev,roberta,12,12,144,459.491,119.17806716410811
si_si2,ChEMBL,Joinable,assays_both_50_70_ec_ev,albert,12,12,144,412.73,99.33511404788123
si_si2,ChEMBL,Joinable,assays_both_50_70_ec_ev,bart,12,12,144,415.338,110.73871570454168
si_si2,ChEMBL,Joinable,assays_both_50_70_ec_ev,bert,12,12,144,370.42,91.29960270093756
si_si2,ChEMBL,Joinable,assays_both_50_70_ec_ev,distilbert,12,12,144,428.067,104.5163480585515
si_si2,ChEMBL,Joinable,assays_both_50_70_ec_ev,minilm,12,12,144,104.851,42.49610728046298
si_si2,ChEMBL,Joinable,assays_both_50_70_ec_ev,roberta,12,12,144,556.023,143.61297161686423
si_si2,ChEMBL,Joinable,assays_vertical_1_ac2_ev,albert,12,12,144,169.668,37.48848809714616
si_si2,ChEMBL,Joinable,assays_vertical_1_ac2_ev,bart,12,12,144,173.85,45.01119416058063
si_si2,ChEMBL,Joinable,assays_vertical_1_ac2_ev,bert,12,12,144,170.692,38.279198223918684
si_si2,ChEMBL,Joinable,assays_vertical_1_ac2_ev,distilbert,12,12,144,186.827,40.14680812177062
si_si2,ChEMBL,Joinable,assays_vertical_1_ac2_ev,minilm,12,12,144,42.855,15.62612064324319
si_si2,ChEMBL,Joinable,assays_vertical_1_ac2_ev,roberta,12,12,144,215.819,51.04393291646241
si_si2,ChEMBL,Joinable,assays_vertical_1_ac4_ev,albert,12,12,144,169.191,37.994855996578934
si_si2,ChEMBL,Joinable,assays_vertical_1_ac4_ev,bart,12,12,144,170.413,44.59688791382314
si_si2,ChEMBL,Joinable,assays_vertical_1_ac4_ev,bert,12,12,144,165.435,36.84028670884669
si_si2,ChEMBL,Joinable,assays_vertical_1_ac4_ev,distilbert,12,12,144,176.781,37.38184957629443
si_si2,ChEMBL,Joinable,assays_vertical_1_ac4_ev,minilm,12,12,144,41.828,15.267606407657269
si_si2,ChEMBL,Joinable,assays_vertical_1_ac4_ev,roberta,12,12,144,207.877,49.278405319571505
si_si2,ChEMBL,Joinable,assays_vertical_1_ec_ev,albert,12,12,144,160.076,34.74356384074687
si_si2,ChEMBL,Joinable,assays_vertical_1_ec_ev,bart,12,12,144,169.392,42.853677771061655
si_si2,ChEMBL,Joinable,assays_vertical_1_ec_ev,bert,12,12,144,172.078,40.41405106920004
si_si2,ChEMBL,Joinable,assays_vertical_1_ec_ev,distilbert,12,12,144,175.422,37.47689405989648
si_si2,ChEMBL,Joinable,assays_vertical_1_ec_ev,minilm,12,12,144,45.605,16.33369583405554
si_si2,ChEMBL,Joinable,assays_vertical_1_ec_ev,roberta,12,12,144,172.97,40.1765157815814
si_si2,ChEMBL,Joinable,assays_vertical_30_ac2_ev,albert,12,12,144,219.723,50.72491153772174
si_si2,ChEMBL,Joinable,assays_vertical_30_ac2_ev,bart,12,12,144,229.597,62.56818233004584
si_si2,ChEMBL,Joinable,assays_vertical_30_ac2_ev,bert,12,12,144,242.314,56.49315530502794
si_si2,ChEMBL,Joinable,assays_vertical_30_ac2_ev,distilbert,12,12,144,243.468,54.92417445185781
si_si2,ChEMBL,Joinable,assays_vertical_30_ac2_ev,minilm,12,12,144,60.836,23.089415392711757
si_si2,ChEMBL,Joinable,assays_vertical_30_ac2_ev,roberta,12,12,144,240.453,58.39886291909218
si_si2,ChEMBL,Joinable,assays_vertical_30_ac4_ev,albert,12,12,144,230.357,54.158987208426
si_si2,ChEMBL,Joinable,assays_vertical_30_ac4_ev,bart,12,12,144,233.048,64.38953681620956
si_si2,ChEMBL,Joinable,assays_vertical_30_ac4_ev,bert,12,12,144,236.107,55.2463446139991
si_si2,ChEMBL,Joinable,assays_vertical_30_ac4_ev,distilbert,12,12,144,238.325,53.08453297130764
si_si2,ChEMBL,Joinable,assays_vertical_30_ac4_ev,minilm,12,12,144,59.766,22.74556905327737
si_si2,ChEMBL,Joinable,assays_vertical_30_ac4_ev,roberta,12,12,144,285.666,69.89298253579435
si_si2,ChEMBL,Joinable,assays_vertical_30_ec_ev,albert,12,12,144,240.277,56.012028790310026
si_si2,ChEMBL,Joinable,assays_vertical_30_ec_ev,bart,12,12,144,241.457,66.67652495723965
si_si2,ChEMBL,Joinable,assays_vertical_30_ec_ev,bert,12,12,144,239.476,56.98209280727805
si_si2,ChEMBL,Joinable,assays_vertical_30_ec_ev,distilbert,12,12,144,250.327,56.801694030359386
si_si2,ChEMBL,Joinable,assays_vertical_30_ec_ev,minilm,12,12,144,60.399,23.599145207345487
si_si2,ChEMBL,Joinable,assays_vertical_30_ec_ev,roberta,12,12,144,253.493,62.25463331046697
si_si2,ChEMBL,Joinable,assays_vertical_50_ac2_ev,albert,12,12,144,289.566,69.42904258368907
si_si2,ChEMBL,Joinable,assays_vertical_50_ac2_ev,bart,12,12,144,314.87,88.05543636612595
si_si2,ChEMBL,Joinable,assays_vertical_50_ac2_ev,bert,12,12,144,308.778,74.83082345414164
si_si2,ChEMBL,Joinable,assays_vertical_50_ac2_ev,distilbert,12,12,144,318.424,75.43899749720094
si_si2,ChEMBL,Joinable,assays_vertical_50_ac2_ev,minilm,12,12,144,78.806,30.73873097090423
si_si2,ChEMBL,Joinable,assays_vertical_50_ac2_ev,roberta,12,12,144,336.942,84.72943179142476
si_si2,ChEMBL,Joinable,assays_vertical_50_ac4_ev,albert,12,12,144,323.805,79.14043472923339
si_si2,ChEMBL,Joinable,assays_vertical_50_ac4_ev,bart,12,12,144,333.237,92.47600079168382
si_si2,ChEMBL,Joinable,assays_vertical_50_ac4_ev,bert,12,12,144,338.251,82.57424424944816
si_si2,ChEMBL,Joinable,assays_vertical_50_ac4_ev,distilbert,12,12,144,367.069,86.76094946065547
si_si2,ChEMBL,Joinable,assays_vertical_50_ac4_ev,minilm,12,12,144,79.28,31.108679885715247
si_si2,ChEMBL,Joinable,assays_vertical_50_ac4_ev,roberta,12,12,144,468.429,119.89746296871078
si_si2,ChEMBL,Joinable,assays_vertical_50_ec_ev,albert,12,12,144,322.219,78.06911317208409
si_si2,ChEMBL,Joinable,assays_vertical_50_ec_ev,bart,12,12,144,336.517,96.1097673256956
si_si2,ChEMBL,Joinable,assays_vertical_50_ec_ev,bert,12,12,144,320.645,79.28746972277759
si_si2,ChEMBL,Joinable,assays_vertical_50_ec_ev,distilbert,12,12,144,338.947,80.91258733098209
si_si2,ChEMBL,Joinable,assays_vertical_50_ec_ev,minilm,12,12,144,87.489,35.54378153750301
si_si2,ChEMBL,Joinable,assays_vertical_50_ec_ev,roberta,12,12,144,340.767,87.05944683124125
si_si2,ChEMBL,Joinable,assays_vertical_70_ac2_ev,albert,12,12,144,441.54,109.57775495104494
si_si2,ChEMBL,Joinable,assays_vertical_70_ac2_ev,bart,12,12,144,385.851,109.32752760893104
si_si2,ChEMBL,Joinable,assays_vertical_70_ac2_ev,bert,12,12,144,417.007,102.18750049617884
si_si2,ChEMBL,Joinable,assays_vertical_70_ac2_ev,distilbert,12,12,144,436.461,104.95313839881123
si_si2,ChEMBL,Joinable,assays_vertical_70_ac2_ev,minilm,12,12,144,105.716,42.75522124579548
si_si2,ChEMBL,Joinable,assays_vertical_70_ac2_ev,roberta,12,12,144,549.745,141.46396208822733
si_si2,ChEMBL,Joinable,assays_vertical_70_ac4_ev,albert,12,12,144,392.364,99.7966812550425
si_si2,ChEMBL,Joinable,assays_vertical_70_ac4_ev,bart,12,12,144,396.104,114.18621457339819
si_si2,ChEMBL,Joinable,assays_vertical_70_ac4_ev,bert,12,12,144,418.692,104.29029250723124
si_si2,ChEMBL,Joinable,assays_vertical_70_ac4_ev,distilbert,12,12,144,409.676,98.89015521763261
si_si2,ChEMBL,Joinable,assays_vertical_70_ac4_ev,minilm,12,12,144,103.317,41.28437460885196
si_si2,ChEMBL,Joinable,assays_vertical_70_ac4_ev,roberta,12,12,144,505.748,128.86475649508833
si_si2,ChEMBL,Joinable,assays_vertical_70_ec_ev,albert,12,12,144,414.331,104.17533150477712
si_si2,ChEMBL,Joinable,assays_vertical_70_ec_ev,bart,12,12,144,426.254,120.52389892683925
si_si2,ChEMBL,Joinable,assays_vertical_70_ec_ev,bert,12,12,144,435.922,107.97527561497691
si_si2,ChEMBL,Joinable,assays_vertical_70_ec_ev,distilbert,12,12,144,468.009,115.16225628453873
si_si2,ChEMBL,Joinable,assays_vertical_70_ec_ev,minilm,12,12,144,104.329,42.03193843746185
si_si2,ChEMBL,Joinable,assays_vertical_70_ec_ev,roberta,12,12,144,559.839,144.81363456541305
si_si2,ChEMBL,Joinable,assays_both_50_30_ac1_ev,albert,12,12,144,258.277,64.26889674295484
si_si2,ChEMBL,Joinable,assays_both_50_30_ac1_ev,bart,12,12,144,230.5,60.05685955286023
si_si2,ChEMBL,Joinable,assays_both_50_30_ac1_ev,bert,12,12,144,250.388,58.21734648357332
si_si2,ChEMBL,Joinable,assays_both_50_30_ac1_ev,distilbert,12,12,144,253.593,55.98675793561338
si_si2,ChEMBL,Joinable,assays_both_50_30_ac1_ev,minilm,12,12,144,59.846,22.963259569466118
si_si2,ChEMBL,Joinable,assays_both_50_30_ac1_ev,roberta,12,12,144,352.579,87.53917723530532
si_si2,ChEMBL,Joinable,assays_both_50_50_ac1_ev,albert,12,12,144,328.697,79.30011218164861
si_si2,ChEMBL,Joinable,assays_both_50_50_ac1_ev,bart,12,12,144,308.481,86.1871063311994
si_si2,ChEMBL,Joinable,assays_both_50_50_ac1_ev,bert,12,12,144,329.132,78.65593456920982
si_si2,ChEMBL,Joinable,assays_both_50_50_ac1_ev,distilbert,12,12,144,322.7,75.97991876751183
si_si2,ChEMBL,Joinable,assays_both_50_50_ac1_ev,minilm,12,12,144,79.352,30.959771337032322
si_si2,ChEMBL,Joinable,assays_both_50_50_ac1_ev,roberta,12,12,144,475.982,120.76622911278906
si_si2,ChEMBL,Joinable,assays_both_50_30_ac3_ev,albert,12,12,144,252.564,58.54310226508974
si_si2,ChEMBL,Joinable,assays_both_50_30_ac3_ev,bart,12,12,144,235.678,62.94494861054419
si_si2,ChEMBL,Joinable,assays_both_50_30_ac3_ev,bert,12,12,144,242.014,55.63497700312732
si_si2,ChEMBL,Joinable,assays_both_50_30_ac3_ev,distilbert,12,12,144,241.688,55.1201813676506
si_si2,ChEMBL,Joinable,assays_both_50_30_ac3_ev,minilm,12,12,144,60.795,23.437676426097752
si_si2,ChEMBL,Joinable,assays_both_50_30_ac3_ev,roberta,12,12,144,348.297,86.27401604105535
si_si2,ChEMBL,Joinable,assays_both_50_1_ac1_ev,albert,12,12,144,178.564,39.48151401871442
si_si2,ChEMBL,Joinable,assays_both_50_1_ac1_ev,bart,12,12,144,163.092,40.938167601645006
si_si2,ChEMBL,Joinable,assays_both_50_1_ac1_ev,bert,12,12,144,173.177,38.32625510063767
si_si2,ChEMBL,Joinable,assays_both_50_1_ac1_ev,distilbert,12,12,144,181.31,38.66750213824213
si_si2,ChEMBL,Joinable,assays_both_50_1_ac1_ev,minilm,12,12,144,41.518,15.311689087033272
si_si2,ChEMBL,Joinable,assays_both_50_1_ac1_ev,roberta,12,12,144,243.976,58.56998934058845
si_si2,ChEMBL,Joinable,assays_both_50_50_ac3_ev,albert,12,12,144,330.087,79.62004677642881
si_si2,ChEMBL,Joinable,assays_both_50_50_ac3_ev,bart,12,12,144,326.885,89.62147151887416
si_si2,ChEMBL,Joinable,assays_both_50_50_ac3_ev,bert,12,12,144,321.336,76.80056643007697
si_si2,ChEMBL,Joinable,assays_both_50_50_ac3_ev,distilbert,12,12,144,346.623,82.4661784659624
si_si2,ChEMBL,Joinable,assays_both_50_50_ac3_ev,minilm,12,12,144,79.598,31.675743150293826
si_si2,ChEMBL,Joinable,assays_both_50_50_ac3_ev,roberta,12,12,144,495.668,126.4933205921501
si_si2,ChEMBL,Joinable,assays_both_50_30_ac5_ev,albert,12,12,144,245.176,56.73616170233488
si_si2,ChEMBL,Joinable,assays_both_50_30_ac5_ev,bart,12,12,144,228.242,60.67309143152832
si_si2,ChEMBL,Joinable,assays_both_50_30_ac5_ev,bert,12,12,144,242.93,56.32615767635404
si_si2,ChEMBL,Joinable,assays_both_50_30_ac5_ev,distilbert,12,12,144,254.808,54.295745275720975
si_si2,ChEMBL,Joinable,assays_both_50_30_ac5_ev,minilm,12,12,144,63.211,23.410227498844264
si_si2,ChEMBL,Joinable,assays_both_50_30_ac5_ev,roberta,12,12,144,343.058,84.26270479689538
si_si2,ChEMBL,Joinable,assays_both_50_1_ac3_ev,albert,12,12,144,170.292,37.419050638198854
si_si2,ChEMBL,Joinable,assays_both_50_1_ac3_ev,bart,12,12,144,163.772,41.54774305236339
si_si2,ChEMBL,Joinable,assays_both_50_1_ac3_ev,bert,12,12,144,184.749,37.9940175024569
si_si2,ChEMBL,Joinable,assays_both_50_1_ac3_ev,distilbert,12,12,144,184.812,41.38346468199792
si_si2,ChEMBL,Joinable,assays_both_50_1_ac3_ev,minilm,12,12,144,46.874,15.963807536453011
si_si2,ChEMBL,Joinable,assays_both_50_1_ac3_ev,roberta,12,12,144,243.506,58.01069193980098
si_si2,ChEMBL,Joinable,assays_both_50_1_ac5_ev,albert,12,12,144,181.932,40.01045355570315
si_si2,ChEMBL,Joinable,assays_both_50_1_ac5_ev,bart,12,12,144,167.984,42.56603704468907
si_si2,ChEMBL,Joinable,assays_both_50_1_ac5_ev,bert,12,12,144,181.426,40.74802557288109
si_si2,ChEMBL,Joinable,assays_both_50_1_ac5_ev,distilbert,12,12,144,183.922,39.72355186727643
si_si2,ChEMBL,Joinable,assays_both_50_1_ac5_ev,minilm,12,12,144,43.23,15.839923457726833
si_si2,ChEMBL,Joinable,assays_both_50_1_ac5_ev,roberta,12,12,144,249.05,59.995463873446
si_si2,ChEMBL,Joinable,assays_both_50_50_ac5_ev,albert,12,12,144,328.308,79.38849072325229
si_si2,ChEMBL,Joinable,assays_both_50_50_ac5_ev,bart,12,12,144,308.241,85.63415111376344
si_si2,ChEMBL,Joinable,assays_both_50_50_ac5_ev,bert,12,12,144,332.957,80.2452973384112
si_si2,ChEMBL,Joinable,assays_both_50_50_ac5_ev,distilbert,12,12,144,331.471,78.2341871867925
si_si2,ChEMBL,Joinable,assays_both_50_50_ac5_ev,minilm,12,12,144,81.605,32.27223292553798
si_si2,ChEMBL,Joinable,assays_both_50_50_ac5_ev,roberta,12,12,144,483.649,121.13934768156707
si_si2,ChEMBL,Joinable,assays_both_50_70_ac1_ev,albert,12,12,144,449.214,112.06173853374642
si_si2,ChEMBL,Joinable,assays_both_50_70_ac1_ev,bart,12,12,144,413.048,114.57088228599355
si_si2,ChEMBL,Joinable,assays_both_50_70_ac1_ev,bert,12,12,144,436.4,107.53075479632247
si_si2,ChEMBL,Joinable,assays_both_50_70_ac1_ev,distilbert,12,12,144,423.221,104.0377886547744
si_si2,ChEMBL,Joinable,assays_both_50_70_ac1_ev,minilm,12,12,144,100.843,40.57835640165211
si_si2,ChEMBL,Joinable,assays_both_50_70_ac1_ev,roberta,12,12,144,648.08,166.66364714868374
si_si2,ChEMBL,Joinable,assays_both_50_70_ac3_ev,albert,12,12,144,411.214,104.98662315154078
si_si2,ChEMBL,Joinable,assays_both_50_70_ac3_ev,bart,12,12,144,405.308,116.8290787076503
si_si2,ChEMBL,Joinable,assays_both_50_70_ac3_ev,bert,12,12,144,417.096,104.63552065110207
si_si2,ChEMBL,Joinable,assays_both_50_70_ac3_ev,distilbert,12,12,144,425.005,104.1609460107237
si_si2,ChEMBL,Joinable,assays_both_50_70_ac3_ev,minilm,12,12,144,107.642,43.198062778457995
si_si2,ChEMBL,Joinable,assays_both_50_70_ac3_ev,roberta,12,12,144,454.935,116.07529180631042
si_si2,ChEMBL,Joinable,assays_both_50_70_ac5_ev,albert,12,12,144,420.392,103.57179301512244
si_si2,ChEMBL,Joinable,assays_both_50_70_ac5_ev,bart,12,12,144,362.767,102.13231771533191
si_si2,ChEMBL,Joinable,assays_both_50_70_ac5_ev,bert,12,12,144,400.36,98.36489674694838
si_si2,ChEMBL,Joinable,assays_both_50_70_ac5_ev,distilbert,12,12,144,382.153,92.4091205942184
si_si2,ChEMBL,Joinable,assays_both_50_70_ac5_ev,minilm,12,12,144,101.542,40.88601893243194
si_si2,ChEMBL,Joinable,assays_both_50_70_ac5_ev,roberta,12,12,144,454.364,115.37861113616822
si_si2,ChEMBL,Joinable,assays_vertical_1_ac3_ev,albert,12,12,144,180.508,40.81241710725428
